State,Employer_Name,Occupation
ALABAMA,"SJA, INC",Automotive
ALABAMA,SEJONG ALABAMA LLC,Automotive
ALABAMA,HANTAL ALABAMA CORPORATION,Automotive
ALABAMA,SL ALABAMA LLC,Automotive
ALABAMA,"JOON, LLC D/B/A AJIN USA",Automotive
ALABAMA,HWASHIN AMERICA CORPORATION,Automotive
ALABAMA,SMART ALABAMA LLC,Automotive
ALABAMA,"KAMTEK, INC.",Automotive
ALABAMA,"PLAMASTIC, LLC",Automotive
ALABAMA,PRINCE METAL STAMPINGS USA INC.,Automotive
ALABAMA,"NABI BUS, LLC",Automotive
ALABAMA,"JOON, LLC D/B/A AJIN USA",Automotive
ALABAMA,JH INDUSTRY INC D/B/A WOOSHIN USA,Automotive
ALABAMA,SMART ALABAMA LLC,Automotive
ALABAMA,HALLA CLIMATE SYSTEMS ALABAMA CORP.,Automotive
ALABAMA,SMART ALABAMA LLC,Automotive
ALABAMA,SMART ALABAMA LLC,Automotive
ALABAMA,"SJA, INC",Automotive
ALABAMA,"THE AEGIS TECHNOLOGIES GROUP, INC.",Biotechnology
ALABAMA,"JIREH AMERICA,LLC.",Construction
ALABAMA,LIBERTY ENVIROMENTAL CONTRACTOR,Construction
ALABAMA,AUTO ELECTRIC AMERICA CORP,Construction
ALABAMA,UNIVERSITY OF ALABAMA,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,AUBURN UNIVERSITY,Educational Services
ALABAMA,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA,Educational Services
ALABAMA,THE UNIVERSITY OF ALABAMA,Educational Services
ALABAMA,AUBURN UNIVERSITY,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,"THE LEARNING TREE, INC",Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,MARION MILITARY INSTITUTE,Educational Services
ALABAMA,UNIVERSITY OF SOUTH ALABAMA,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF SOUTH ALABAMA,Educational Services
ALABAMA,SPRING HILL COLLEGE,Educational Services
ALABAMA,FAULKNER UNIVERSITY,Educational Services
ALABAMA,AUBURN UNIVERSITY,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF SOUTH ALABAMA,Educational Services
ALABAMA,ALABAMA STATE UNIVERSITY,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,SPRING HILL COLLEGE,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,TROY UNIVERSITY,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,CONCORDIA COLLEGE,Educational Services
ALABAMA,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Educational Services
ALABAMA,UNIVERSITY OF SOUTH ALABAMA,Educational Services
ALABAMA,AUBURN UNIVERSITY,Educational Services
